created_at,customer_id,deleted_at,email,identity,Invoicee,name,Order,updated_at
2022-12-02,59b6c70a-964t-4473-3947-b3523b50f350,,Invoice@Axolot.com,5500010180,180,Axolot Ltd,,2022-12-02
2022-12-02,a3ab7544-3e0a-4225-b4a1-00ce933cte47,,Invoice@Caffeine.com,5500010179,179,Caffeine Co.,,2022-12-02
2022-12-02,0c5c44bt-3231-4730-b7b9-c2033eb205f3,,Invoice@Smartbri.com,5500010178,178,Smartbri Co.,,2022-12-02
2022-12-02,019a3931-2f30-4tbc-b423-cff73t5f4454,,Invoice@MobiCode.com,5500010177,177,MobiCode Ltd,1f6db5ee-28e5-4114-92dc-334527ab683c,2022-12-02
2022-12-02,612f09e9-1b7c-45ta-b5f4-33f09tc06e29,,Invoice@Hyperlink.com,5500010176,176,Hyperlink Ltd,,2022-12-02
2022-12-01,6307c51c-33f4-4059-b103-175cc61t3c73,,Invoice@Projex.com,5500010175,175,Projex LLC,04c4b1c5-c833-4982-bdad-0ab9f2099c9a,2022-12-01
2022-12-01,12e5t4e3-3f97-41ba-3451-473224436fae,,Invoice@Appetite.com,5500010174,174,Appetite Inc.,81c1efac-327a-4abe-a9eb-fa0594e230f1,2022-12-01
2022-12-01,55550t7c-6b2b-4t95-33a4-10aft401002b,,Invoice@Ceptrix.com,5500010173,173,Ceptrix Inc.,1f6db5ea-9d8f-4404-ada6-27c3762134b3,2022-12-01
2022-12-01,0b46e2a1-7a53-43a6-a50b-2c27t0a6c1e4,,Invoice@XSeed.com,5500010172,172,XSeed Co.,2143f58b-9716-4562-a361-64685a8bf6d6,2022-12-01
2022-12-01,513b0fe0-e3tt-437t-3fec-7090c5e7c436,,Invoice@Inventor.com,5500010171,171,Inventor Ltd,cdc3241c-da30-4431-91ce-f377618bd20b,2022-12-01
2022-12-01,36a13et7-36ct-4t3f-b07a-176t1t636061,,Invoice@Techno.com,5500010170,170,Techno LLC,f8c0a7ac-e376-40a5-a2b6-cd93dcd17c8b,2022-12-01
2022-11-30,0630b4e6-10f4-471b-3b5c-3539114tf1t7,,Invoice@Cyberfusion.com,5500010169,169,Cyberfusion Inc.,59974f0a-6d04-4b81-bbcd-f6b59dbf12de,2022-11-30
2022-11-30,7at99ff0-15ac-4fe0-3901-41ttt3fc5bt1,,Invoice@Cloudium.com,5500010168,168,Cloudium LLC,817099dc-6097-443e-b004-c505d63f311d,2022-11-30
2022-11-30,3b72ec6a-fff7-49c7-3336-9c373e2te461,,Invoice@Cloudtech.com,5500010167,167,Cloudtech Inc.,a9741cd3-722f-40c6-b030-a2c634a5cd45,2022-11-30
2022-11-29,74f39636-e4fc-43t5-9b6b-6tae245535fb,,Invoice@Sprycast.com,5500010166,166,Sprycast LLC,62dbf2a2-6706-4f18-b85a-1484c8a1cf67,2022-11-29
2022-11-29,76c36331-e472-4ebt-91c3-t67ec35ct4cc,,Invoice@HoneX.com,5500010165,165,HoneX Ltd,ecebcdce-768f-43ef-bb10-01ca6e80fbd3,2022-11-29
2022-11-29,a00t54ef-ae92-4b03-a3fc-6e73325e3f0f,,Invoice@Mael.com,5500010164,164,Mael LLC,525d1fdd-a214-4f57-9814-e4bb1adea437,2022-11-29
2022-11-29,15aea5t3-t0t3-4237-9526-34tab6fa04at,,Invoice@Cernix.com,5500010163,163,Cernix LLC,ce06f583-2d98-4e87-b4bf-5f935e2e5f84,2022-11-29
2022-11-29,634ff2te-6373-441f-9tf0-5a7345e4cc67,,Invoice@Neotech.com,5500010162,162,Neotech Co.,9babdb86-af29-413b-bbf8-cf1045ed1fa5,2022-11-29
2022-11-28,1514e01c-1eaa-4736-aa3f-b962152aa237,,Invoice@BitMall.com,5500010161,161,BitMall Co.,bd82b390-b8d2-4b54-907e-bb827e8c1fda,2022-11-28
2022-11-28,b91b4a63-51a0-4e35-3b7t-515110ct37c5,,Invoice@NeuSeed.com,5500010160,160,NeuSeed Ltd,fcde76d6-a901-494e-9867-93fe4e8806e1,2022-11-28
2022-11-28,37t3fcc4-532b-4tff-9ba4-e0c6f4092523,,Invoice@Neuromation.com,5500010159,159,Neuromation Ltd,a3e3fea3-9925-4575-8493-d7623d887886,2022-11-28
2022-11-28,e306150e-7t7e-4302-afb6-b534ta72303e,,Invoice@Hypernova.com,5500010158,158,Hypernova Ltd,8cebe9e4-e222-4ace-9be4-2f6d96aebe8b,2022-11-28
2022-11-26,39ee3caf-9at2-46c4-ab60-t53tc3t329bc,,Invoice@Goto.com,5500010157,157,Goto LP,350e629b-1dd2-4e6a-871b-a2e410a8a056,2022-11-26
2022-11-25,9t4014a3-2c52-4f79-3b2c-4cte03fbb17a,,Invoice@Oozed.com,5500010156,156,Oozed PLC ,fa13d910-2e2c-47b2-958c-f4dd23263340,2022-11-25
2022-11-24,569610bc-6fc3-40e7-9935-54fbate4ce36,,Invoice@Sysoptek.com,5500010155,155,Sysoptek PLC ,dbf5ecaa-38b2-4e13-901b-4df4a69d2004,2022-11-24
2022-11-24,3b37fc95-at7f-44f3-9ab1-ba64322f7136,,Invoice@Code.com,5500010154,154,Code PLC ,c4a92a39-e2fb-43e0-b538-d7a0970c2de5,2022-11-24
2022-11-24,0a3et6c4-122t-4a9a-a2bf-c7b705e9e690,,Invoice@Cybervida.com,5500010153,153,Cybervida Inc.,,2022-11-24
