invoicing_period_id,subscription_id,cost,calculated_cost,license_id,start,end,description,product,type,month,vat,created_at,bookkeeping_account
16f1361b-9372-45e9-ae68-a05ef1d01801,c126fcfe-1213-40e3-936a-ftt34326tt25,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,a3bae1f9-7379-434f-9643-000e4996c205,299.0,299.0,,2023-01-01,2023-01-31,Subscription 20GB,subscription_20gb,Product,2023-01-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,c126fcfe-1213-40e3-936a-ftt34326tt25,-29.0,-29.0,,2023-01-01,2023-01-31,Black Friday Sale - Fixed number,pbx_number,Adjustment,2023-01-01,0.25,2023-01-11,3733
16f1361b-9372-45e9-ae68-a05ef1d01801,a3bae1f9-7379-434f-9643-000e4996c205,-40.0,-40.0,,2023-01-01,2023-01-31,Black Friday Sale - Subscription 20GB,subscription_20gb,Adjustment,2023-01-01,0.25,2023-01-11,3733
16f1361b-9372-45e9-ae68-a05ef1d01801,t9042t33-456b-4e76-93fc-23732t31a304,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,26167t91-3att-4tc3-a367-f65cff319f31,299.0,299.0,,2023-01-01,2023-01-31,Subscription 20GB,subscription_20gb,Product,2023-01-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,a101etc3-39bf-446b-3t6t-1b3bf51b2255,229.0,229.0,,2023-01-01,2023-01-31,Subscription 3GB,subscription_3gb,Product,2023-01-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,a101etc3-39bf-446b-3t6t-1b3bf51b2255,229.0,229.0,,2023-02-01,2023-02-29,Subscription 3GB,subscription_3gb,Product,2023-02-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,a101etc3-39bf-446b-3t6t-1b3bf51b2255,229.0,229.0,,2023-03-01,2023-03-31,Subscription 3GB,subscription_3gb,Product,2023-03-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,3t36a7et-c65b-419b-ba15-6606c4237306,229.0,229.0,,2023-01-01,2023-01-31,Subscription 3GB,subscription_3gb,Product,2023-01-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,713f4f1c-3303-479c-a3ac-3695b3t3015f,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,3t36a7et-c65b-419b-ba15-6606c4237306,-40.0,-40.0,,2023-01-01,2023-01-31,Black Friday Sale - Subscription 3GB,subscription_3gb,Adjustment,2023-01-01,0.25,2023-01-11,3733
16f1361b-9372-45e9-ae68-a05ef1d01801,713f4f1c-3303-479c-a3ac-3695b3t3015f,-29.0,-29.0,,2023-01-01,2023-01-31,Black Friday Sale - Fixed number,pbx_number,Adjustment,2023-01-01,0.25,2023-01-11,3733
16f1361b-9372-45e9-ae68-a05ef1d01801,61273e51-9t63-4695-33t1-5036203et33c,69.0,69.0,,2023-01-01,2023-01-31,Subscription Rörligt,subscription_variable,Product,2023-01-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,a351f2ae-3230-473c-a0b1-ea1533e93c06,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,65715ta0-9a3f-42e4-30e7-95a0712c706a,34.0,34.0,,2023-01-01,2023-01-31,Subscription M2M 500MB,m2m_500mb,Product,2023-01-01,0.25,2023-01-11,3061
16f1361b-9372-45e9-ae68-a05ef1d01801,b5tf0b16-23f3-447b-a5a4-9696fcbec33e,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,fcf3222t-e654-493t-96ac-f5b2c30f7375,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,151763ft-b2bf-4e64-3779-0333f173a062,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,a93fba17-ce12-45f6-b396-26ft7a96b997,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,60tf6b47-ffe3-4142-a749-39f55f95499c,5.17,5.17,,2022-12-15,2022-12-15,"2 Outgoing Calls to BE - 1m0s (100a, 2f)",,Usage,2022-12-01,0.0,2023-01-11,3011
16f1361b-9372-45e9-ae68-a05ef1d01801,60tf6b47-ffe3-4142-a749-39f55f95499c,399.0,399.0,,2023-01-01,2023-01-31,Subscription Unlimited 5G,subscription_unlimited_5g,Product,2023-01-01,0.25,2023-01-11,3000
